team,fdr_r1,fdr_r2,fdr_r3
Argentina,1,2,1
Australia,3,3,3
Austria,2,5,2
Belgium,1,3,1
Bosnia & Herzegovina,3,4,3
Brazil,2,1,2
Canada,3,3,3
Ivory Coast,5,5,2
Colombia,2,1,3
Cabo Verde,5,4,3
Croatia,3,2,2
Curaçao,5,4,4
Czechia,3,2,4
DR Congo,5,5,3
Algeria,5,3,4
Ecuador,1,2,4
Egypt,5,2,3
England,3,1,1
Spain,1,1,3
France,2,3,5
Germany,1,1,2
Ghana,4,5,4
Haiti,4,5,5
Iraq,3,5,4
Iran,2,3,3
Jordan,4,3,5
Japan,3,2,3
South Korea,3,3,3
Saudi Arabia,4,5,3
Mexico,1,3,2
Morocco,4,3,1
Netherlands,3,2,1
Norway,3,3,5
New Zealand,4,4,5
Panama,2,4,5
Paraguay,4,3,3
Portugal,1,2,3
Qatar,4,3,3
South Africa,5,4,3
Scotland,2,5,4
Senegal,4,3,2
Switzerland,1,3,2
Sweden,3,4,3
Tunisia,3,4,5
Türkiye,3,3,3
Uruguay,2,2,3
USA,2,3,3
Uzbekistan,4,4,3
