team,group,is_favorite
Mexico,A,unclear
South Africa,A,none
South Korea,A,none
Czechia,A,none
Canada,B,none
Bosnia & Herzegovina,B,none
Qatar,B,none
Switzerland,B,strong
Brazil,C,unclear
Morocco,C,unclear
Haiti,C,none
Scotland,C,none
USA,D,none
Paraguay,D,none
Australia,D,none
Türkiye,D,strong
Germany,E,likely
Curaçao,E,none
Côte d'Ivoire,E,none
Ecuador,E,none
Netherlands,F,unclear
Japan,F,unclear
Sweden,F,none
Tunisia,F,none
Belgium,G,strong
Egypt,G,none
Iran,G,none
New Zealand,G
Spain,H,strong
Cabo Verde,H,none
Saudi Arabia,H,none
Uruguay,H,none
France,I,likely
Senegal,I,unclear
Iraq,I,none
Norway,I,none
Argentina,J,strong
Algeria,J,none
Austria,J,none
Jordan,J,none
Portugal,K,strong
DR Congo,K,none
Uzbekistan,K,none
Colombia,K,none
England,L,strong
Croatia,L,unclear
Ghana,L,none
Panama,L,none
