name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Lionel Messi,L. Messi,F,Argentina,10,31,15.5,22.6,15.5
Kylian Mbappé,K. Mbappé,F,France,12,27,13.5,36.4,13.5
Erling Haaland,E. Haaland,F,Norway,10,27,13.5,11.7,13.5
Deniz Undav,D. Undav,F,Germany,5.5,26,13,6.2,13
Daniel Muñoz,D. Muñoz,D,Colombia,5.5,26,13,4.9,13
Alexander Freeman,A. Freeman,D,USA,5,26,13,1.1,13
Felix Nmecha,F. Nmecha,M,Germany,5.5,25,12.5,4.9,12.5
Aymeric Laporte,A. Laporte,D,Spain,5.5,23,11.5,4.1,11.5
Vinícius Júnior,Vinícius Jr.,M,Brazil,11,22,11,11.8,11
Mohamed Salah,M. Salah,M,Egypt,8,22,11,2.5,11
Michael Olise,M. Olise,M,France,10.5,22,11,26.1,11
Alexander Isak,A. Isak,F,Sweden,7,22,11,3.5,11
Cody Gakpo,C. Gakpo,M,Netherlands,7.5,22,11,2.9,11
Crysencio Summerville,C. Summerville,M,Netherlands,5.5,22,11,3.5,11
Joshua Kimmich,J. Kimmich,D,Germany,7.5,21,10.5,9.8,10.5
Facundo Medina,F. Medina,D,Argentina,4.5,21,10.5,1.2,10.5
Maximiliano Araújo,M. Araújo,M,Uruguay,5.5,21,10.5,1.2,10.5
Nuno Mendes,N. Mendes,D,Portugal,7.5,20,10,22,10
Wilfried Singo,W. Singo,D,Côte d'Ivoire,4.5,20,10,1.3,10
Nathaniel Brown,N. Brown,D,Germany,5,20,10,3.1,10
Pau Cubarsí,P. Cubarsí,D,Spain,6,19,9.5,17.8,9.5
Denzel Dumfries,D. Dumfries,D,Netherlands,6.5,19,9.5,8.9,9.5
Granit Xhaka,G. Xhaka,M,Switzerland,7,19,9.5,1.5,9.5
Ayase Ueda,A. Ueda,F,Japan,6.5,19,9.5,1.7,9.5
Elijah Just,E. Just,M,New Zealand,4,19,9.5,1,9.5
Gideon Mensah,G. Mensah,D,Ghana,4.5,19,9.5,0.2,9.5
Jerome Opoku,J. Opoku,D,Ghana,4.5,19,9.5,0.1,9.5
Raúl Rangel,R. Rangel,G,Mexico,4.5,19,9.5,1.9,9.5
Erik Lira,E. Lira,D,Mexico,4.5,19,9.5,1.3,9.5
Achraf Hakimi,A. Hakimi,D,Morocco,8,18,9,16.7,9
Marc Cucurella,M. Cucurella,D,Spain,6.5,18,9,11.8,9
Lisandro Martínez,L. Martínez,D,Argentina,5.5,18,9,6.4,9
Jonathan David,J. David,F,Canada,6.5,18,9,1.9,9
Julio Enciso,J. Enciso,M,Paraguay,6,18,9,1.6,9
Rubén Vargas,R. Vargas,M,Switzerland,5.5,18,9,0.8,9
Ramin Rezaeian,R. Rezaeian,M,Iran,4.5,18,9,0.4,9
Jonas Adjei Adjetey,J. A. Adjetey,D,Ghana,4.5,18,9,0.2,9
Marvin Senaya,M. Senaya,D,Ghana,4,18,9,0.4,9
Richie Laryea,R. Laryea,D,Canada,4.5,18,9,0.2,9
Ousmane Dembélé,O. Dembélé,M,France,11.5,17,8.5,10.5,8.5
João Neves,J. Neves,M,Portugal,8,17,8.5,5.3,8.5
Ismael Saibari,I. Saibari,M,Morocco,6.5,17,8.5,3.7,8.5
Marquinhos,Marquinhos,D,Brazil,6.5,17,8.5,9.9,8.5
Kang-in Lee,K. Lee,M,South Korea,6,17,8.5,2.7,8.5
Mikel Oyarzabal,M. Oyarzabal,F,Spain,8,17,8.5,5.7,8.5
Dayot Upamecano,D. Upamecano,D,France,6,17,8.5,11.9,8.5
Hwang In-beom,H. In-beom,M,South Korea,4.5,17,8.5,1.4,8.5
Keito Nakamura,K. Nakamura,M,Japan,5,17,8.5,1.5,8.5
Teboho Mokoena,T. Mokoena,M,South Africa,4.5,17,8.5,0.3,8.5
Alireza Beiranvand,A. Beiranvand,G,Iran,4.5,17,8.5,0.3,8.5
Brandon Mechele,B. Mechele,D,Belgium,4.5,17,8.5,0.3,8.5
Jesús Gallardo,J. Gallardo,D,Mexico,4.5,17,8.5,0.4,8.5
Pico,Pico,D,Cabo Verde,4,17,8.5,0.3,8.5
Finn Surman,F. Surman,D,New Zealand,4,17,8.5,0.1,8.5
Harry Kane,H. Kane,F,England,12,16,8,23.6,8
Thibaut Courtois,T. Courtois,G,Belgium,6.5,16,8,13,8
Viktor Gyökeres,V. Gyökeres,F,Sweden,7.5,16,8,5.1,8
Luis Díaz,L. Díaz,M,Colombia,8.5,16,8,10.3,8
Matheus Cunha,M. Cunha,F,Brazil,7.5,16,8,3.7,8
Gabriel Magalhães,G. Magalhães,D,Brazil,7,16,8,11.2,8
Arthur Masuaku,A. Masuaku,D,DR Congo,4.5,16,8,0.3,8
Daichi Kamada,D. Kamada,M,Japan,5.5,16,8,1.4,8
Unai Simón,U. Simón,G,Spain,5.5,16,8,7.8,8
Breel Embolo,B. Embolo,F,Switzerland,6,16,8,2.8,8
Johan Vásquez,J. Vásquez,D,Mexico,5,16,8,1.7,8
Eloy Room,E. Room,G,Curaçao,4,16,8,0.4,8
Alessandro Circati,A. Circati,D,Australia,5,16,8,0.2,8
Jamal Musiala,J. Musiala,M,Germany,8.5,15,7.5,3.9,7.5
Emam Ashour,E. Ashour,M,Egypt,5,15,7.5,1.4,7.5
Virgil van Dijk,V. van Dijk,D,Netherlands,7,15,7.5,13.5,7.5
Rodri,Rodri,M,Spain,7.5,15,7.5,2.7,7.5
Noussair Mazraoui,N. Mazraoui,D,Morocco,6,15,7.5,8.5,7.5
Willian Pacho,W. Pacho,D,Ecuador,6,15,7.5,19,7.5
Diogo Costa,D. Costa,G,Portugal,5.5,15,7.5,9.3,7.5
Davinson Sánchez,D. Sánchez,D,Colombia,5,15,7.5,1.2,7.5
Martin Baturina,M. Baturina,M,Croatia,6,15,7.5,1.9,7.5
Brian Brobbey,B. Brobbey,F,Netherlands,4.5,15,7.5,1.5,7.5
Yasin Ayari,Y. Ayari,M,Sweden,5.5,15,7.5,1.9,7.5
Mostafa Shobeir,M. Shobeir,G,Egypt,4.5,15,7.5,1.4,7.5
Ladislav Krejčí,L. Krejčí,D,Czechia,5.5,15,7.5,1.8,7.5
Ko Itakura,K. Itakura,D,Japan,5,15,15,0.3,7.5
Luis Romo,L. Romo,D,Mexico,4,15,15,0.4,7.5
Diney Borges,Diney,D,Cabo Verde,4,15,7.5,0.4,7.5
Paul Okon-Engstler,P. Okon-Engstler,M,Australia,4.5,15,7.5,0.1,7.5
Grant Hanley,G. Hanley,D,Scotland,4.5,15,7.5,0.1,7.5
Pedri,Pedri,M,Spain,9,14,7,13.8,7
Bruno Fernandes,B. Fernandes,M,Portugal,9.5,14,7,14.2,7
Brahim Díaz,B. Díaz,M,Morocco,7.5,14,7,3.7,7
Sadio Mané,S. Mané,M,Senegal,8,14,7,1.2,7
Declan Rice,D. Rice,M,England,8,14,7,4.3,7
Lucas Paquetá,L. Paquetá,M,Brazil,6.5,14,7,2.2,7
Cristian Romero,C. Romero,D,Argentina,5.5,14,7,7.7,7
Ryan Gravenberch,R. Gravenberch,M,Netherlands,7,14,7,1.6,7
Manuel Akanji,M. Akanji,D,Switzerland,5.5,14,7,5.2,7
Marc Guéhi,M. Guéhi,D,England,6,14,7,10.6,7
Julián Quiñones,J. Quiñones,F,Mexico,4.5,14,7,3,7
Hannibal Mejbri,H. Mejbri,M,Tunisia,4.5,14,7,0.7,7
Nico Schlotterbeck,N. Schlotterbeck,D,Germany,7,14,7,2.9,7
Elliot Anderson,E. Anderson,M,England,6.5,14,7,1.5,7
Renato Veiga,R. Veiga,D,Portugal,5,14,7,0.7,7
Josip Stanišić,J. Stanišić,D,Croatia,5.5,14,7,2.5,7
Benjamin Asare,B. Asare,G,Ghana,4,14,7,0.6,7
Lewis Ferguson,L. Ferguson,M,Scotland,5,14,7,0.2,7
Pedro Vite,P. Vite,M,Ecuador,5.5,14,7,0.5,7
Nathan Ngoy,N. Ngoy,D,Belgium,4.5,14,7,0.3,7
Nikola Katić,N. Katić,D,Bosnia & Herzegovina,4.5,14,7,0.4,7
Chris Richards,C. Richards,D,USA,5,14,7,0.3,7
Juan Cáceres,J. Cáceres,D,Paraguay,4.5,14,7,0.1,7
Tim Ream,T. Ream,D,USA,4.5,14,7,0.2,7
Alistair Johnston,A. Johnston,D,Canada,4.5,14,7,0.1,7
Mohanad Lasheen,M. Lasheen,M,Egypt,5.5,14,7,0.4,7
Patrick Beach,P. Beach,G,Australia,4,14,7,0.8,7
Livano Comenencia,L. Comenencia,D,Curaçao,4,14,7,0.2,7
Jack Hendry,J. Hendry,D,Scotland,4,14,7,0.2,7
Cristiano Ronaldo,C. Ronaldo,F,Portugal,9,13,6.5,14.1,6.5
Florian Wirtz,F. Wirtz,M,Germany,8.5,13,6.5,3.9,6.5
Amad Diallo,A. Diallo,M,Côte d'Ivoire,6.5,13,6.5,2.5,6.5
Martin Ødegaard,M. Ødegaard,M,Norway,8,13,6.5,2,6.5
Kai Havertz,K. Havertz,F,Germany,7,13,6.5,9.4,6.5
Emiliano Martínez,E. Martínez,G,Argentina,5.5,13,6.5,20.8,6.5
Franck Kessié,F. Kessié,M,Côte d'Ivoire,6.5,13,6.5,0.6,6.5
Yan Diomande,Y. Diomande,M,Côte d'Ivoire,8,13,6.5,2.3,6.5
Leandro Trossard,L. Trossard,M,Belgium,7,13,6.5,1.1,6.5
Ismaïla Sarr,I. Sarr,F,Senegal,5,13,6.5,2.3,6.5
Vozinha,Vozinha,G,Cabo Verde,4.5,13,6.5,3.5,6.5
Folarin Balogun,F. Balogun,F,USA,6,13,6.5,4.5,6.5
Adrien Rabiot,A. Rabiot,M,France,6.5,13,6.5,1.3,6.5
Sergiño Dest,S. Dest,D,USA,5,13,6.5,1.8,6.5
Malik Tillman,M. Tillman,M,USA,5.5,13,6.5,1,6.5
Abdülkerim Bardakcı,A. Bardakcı,D,Türkiye,5,13,6.5,0.4,6.5
John McGinn,J. McGinn,M,Scotland,6,13,6.5,1.8,6.5
Johan Manzambi,J. Manzambi,M,Switzerland,6,13,6.5,1.3,6.5
Mostafa Ziko,M. Ziko,M,Egypt,4.5,13,6.5,0.3,6.5
Yahia Fofana,Y. Fofana,G,Côte d'Ivoire,5,13,6.5,1.2,6.5
Antonee Robinson,A. Robinson,D,USA,5,13,6.5,1,6.5
Ricardo Rodríguez,R. Rodríguez,D,Switzerland,5,13,6.5,0.5,6.5
Romano Schmid,R. Schmid,M,Austria,6,13,6.5,1,6.5
