team,match_date_r1,match_time_et,opponent_r1
Mexico,2026-06-11,15:00,South Africa
South Africa,2026-06-11,15:00,Mexico
South Korea,2026-06-11,22:00,Czechia
Czechia,2026-06-11,22:00,South Korea
Canada,2026-06-12,15:00,Bosnia & Herzegovina
Bosnia & Herzegovina,2026-06-12,15:00,Canada
USA,2026-06-12,21:00,Paraguay
Paraguay,2026-06-12,21:00,USA
Qatar,2026-06-13,15:00,Switzerland
Switzerland,2026-06-13,15:00,Qatar
Brazil,2026-06-13,18:00,Morocco
Morocco,2026-06-13,18:00,Brazil
Haiti,2026-06-13,21:00,Scotland
Scotland,2026-06-13,21:00,Haiti
Australia,2026-06-14,00:00,Türkiye
Türkiye,2026-06-14,00:00,Australia
Germany,2026-06-14,13:00,Curacao
Curaçao,2026-06-14,13:00,Germany
Netherlands,2026-06-14,16:00,Japan
Japan,2026-06-14,16:00,Netherlands
Ivory Coast,2026-06-14,19:00,Ecuador
Ecuador,2026-06-14,19:00,Ivory Coast
Sweden,2026-06-14,22:00,Tunisia
Tunisia,2026-06-14,22:00,Sweden
Spain,2026-06-15,12:00,Cabo Verde
Cabo Verde,2026-06-15,12:00,Spain
Belgium,2026-06-15,15:00,Egypt
Egypt,2026-06-15,15:00,Belgium
Saudi Arabia,2026-06-15,18:00,Uruguay
Uruguay,2026-06-15,18:00,Saudi Arabia
Iran,2026-06-15,21:00,New Zealand
New Zealand,2026-06-15,21:00,Iran
France,2026-06-16,15:00,Senegal
Senegal,2026-06-16,15:00,France
Iraq,2026-06-16,18:00,Norway
Norway,2026-06-16,18:00,Iraq
Argentina,2026-06-16,21:00,Algeria
Algeria,2026-06-16,21:00,Argentina
Austria,2026-06-17,00:00,Jordan
Jordan,2026-06-17,00:00,Austria
Portugal,2026-06-17,13:00,DR Congo
DR Congo,2026-06-17,13:00,Portugal
England,2026-06-17,16:00,Croatia
Croatia,2026-06-17,16:00,England
Ghana,2026-06-17,19:00,Panama
Panama,2026-06-17,19:00,Ghana
Uzbekistan,2026-06-17,22:00,Colombia
Colombia,2026-06-17,22:00,Uzbekistan
