team,prob_last16,prob_quarts,prob_semis,prob_finale,prob_winner
France,0.815,0.583,0.427,0.284,0.187
Argentina,0.892,0.705,0.496,0.300,0.163
Spain,0.852,0.544,0.396,0.227,0.135
England,0.840,0.537,0.319,0.186,0.097
Brazil,0.689,0.438,0.247,0.137,0.065
Netherlands,0.612,0.434,0.193,0.101,0.051
Portugal,0.674,0.308,0.199,0.095,0.047
Germany,0.786,0.306,0.179,0.087,0.044
Colombia,0.719,0.418,0.179,0.080,0.032
Norway,0.678,0.313,0.151,0.072,0.030
United States,0.785,0.425,0.154,0.057,0.025
Switzerland,0.652,0.338,0.140,0.058,0.022
Mexico,0.614,0.283,0.120,0.050,0.018
Morocco,0.388,0.243,0.087,0.038,0.016
Belgium,0.569,0.301,0.109,0.040,0.016
Japan,0.311,0.154,0.068,0.029,0.010
Ecuador,0.386,0.136,0.052,0.019,0.006
Croatia,0.326,0.099,0.047,0.016,0.006
Senegal,0.431,0.198,0.058,0.016,0.005
Canada,0.683,0.252,0.058,0.017,0.005
Egypt,0.536,0.141,0.058,0.018,0.004
Australia,0.464,0.115,0.044,0.013,0.003
Sweden,0.185,0.069,0.028,0.009,0.003
Ghana,0.281,0.122,0.036,0.011,0.003
Côte d'Ivoire,0.322,0.095,0.032,0.011,0.002
Algeria,0.348,0.123,0.034,0.009,0.002
Paraguay,0.214,0.042,0.016,0.005,0.001
Austria,0.148,0.048,0.020,0.004,0.001
Bosnia & Herzegovina,0.215,0.076,0.017,0.004,0.001
South Africa,0.317,0.071,0.012,0.002,0.000
DR Congo,0.160,0.044,0.011,0.003,0.000
Cabo Verde,0.108,0.040,0.012,0.002,0.000
