name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Cristiano Ronaldo,C. Ronaldo,F,Portugal,9,0,0,15.7,0
Lionel Messi,L. Messi,F,Argentina,10,18,18,17.7,0
Lamine Yamal,L. Yamal,M,Spain,11.5,1,1,20.5,0
Kylian Mbappé,K. Mbappé,F,France,12,12,12,33.6,0
Vinícius Júnior,Vinícius Jr.,M,Brazil,11,11,11,9.6,0
Neymar,Neymar,M,Brazil,6.5,0,0,3.8,0
Jude Bellingham,J. Bellingham,M,England,8.5,0,0,6.2,0
Raphinha,Raphinha,M,Brazil,10.5,3,3,10,0
Erling Haaland,E. Haaland,F,Norway,10,14,14,12.1,0
Pedri,Pedri,M,Spain,9,9,9,14.8,0
Mohamed Salah,M. Salah,M,Egypt,8,7,7,1.9,0
Federico Valverde,F. Valverde,M,Uruguay,8,1,1,5.4,0
Endrick,Endrick,F,Brazil,6,0,0,17.1,0
Arda Güler,A. Güler,M,Türkiye,8,5,5,7.9,0
Marcus Rashford,M. Rashford,M,England,7,0,0,2.5,0
Harry Kane,H. Kane,F,England,12,0,0,22.7,0
Luka Modrić,L. Modrić,M,Croatia,7.5,0,0,4.1,0
Bruno Fernandes,B. Fernandes,M,Portugal,9.5,0,0,17.3,0
Kevin De Bruyne,K. De Bruyne,M,Belgium,7.5,3,3,5,0
Ousmane Dembélé,O. Dembélé,M,France,11.5,4,4,10.7,0
Pablo Gavi,Gavi,M,Spain,6.5,3,3,2.4,0
Brahim Díaz,B. Díaz,M,Morocco,7.5,6,6,3.1,0
Julián Alvarez,J. Álvarez,F,Argentina,9,0,0,12.5,0
Thibaut Courtois,T. Courtois,G,Belgium,6.5,6,6,13.4,0
Michael Olise,M. Olise,M,France,10.5,9,9,25.6,0
Frenkie de Jong,F. de Jong,M,Netherlands,7.5,5,5,2.4,0
Viktor Gyökeres,V. Gyökeres,F,Sweden,7.5,12,12,5.1,0
Omar Marmoush,O. Marmoush,F,Egypt,7.5,5,5,2.2,0
Bukayo Saka,B. Saka,M,England,9,0,0,2,0
Dani Olmo,D. Olmo,M,Spain,7,1,1,3,0
Antonio Rüdiger,A. Rüdiger,D,Germany,5,1,1,11.2,0
Sadio Mané,S. Mané,M,Senegal,8,4,4,1.3,0
Luis Díaz,L. Díaz,M,Colombia,8.5,0,0,10.7,0
Pau Cubarsí,P. Cubarsí,D,Spain,6,9,9,17.3,0
Jules Koundé,J. Koundé,D,France,6.5,4,4,6,0
Ferran Torres,F. Torres,F,Spain,7,-1,-1,5.9,0
Aurélien Tchouaméni,A. Tchouaméni,M,France,6.5,5,5,3,0
Florian Wirtz,F. Wirtz,M,Germany,8.5,8,8,4.6,0
Achraf Hakimi,A. Hakimi,D,Morocco,8,9,9,16,0
Ronald Araújo,R. Araújo,D,Uruguay,5,0,0,1.9,0
João Félix,J. Félix,M,Portugal,7,0,0,1.9,0
Enzo Fernández,E. Fernández,M,Argentina,8,5,5,2.2,0
Joan García,J. García,G,Spain,4,0,0,9.6,0
Lautaro Martínez,L. Martínez,F,Argentina,7.5,0,0,4.3,0
Son Heung-min,S. Heung-min,M,South Korea,7,2,2,1.5,0
Jamal Musiala,J. Musiala,M,Germany,8.5,12,12,3.4,0
Nico Paz,N. Paz,M,Argentina,7,1,1,4.1,0
Désiré Doué,D. Doué,M,France,8,2,2,4.5,0
Amad Diallo,A. Diallo,M,Côte d'Ivoire,6.5,10,10,1.9,0
Antoine Semenyo,A. Semenyo,M,Ghana,7,0,0,2.9,0
Abdukodir Khusanov,A. Khusanov,D,Uzbekistan,4,0,0,11,0
Alexander Isak,A. Isak,F,Sweden,7,13,13,2.6,0
João Cancelo,J. Cancelo,D,Portugal,5.5,0,0,15.8,0
Emam Ashour,E. Ashour,M,Egypt,5,10,10,0.6,0
Rayan Cherki,R. Cherki,M,France,8,1,1,7,0
Virgil van Dijk,V. van Dijk,D,Netherlands,7,11,11,13.1,0
Nicolas Jackson,N. Jackson,F,Senegal,6,-1,-1,2,0
Casemiro,Casemiro,M,Brazil,6.5,0,0,4.8,0
Kenan Yıldız,K. Yıldız,M,Türkiye,7.5,4,4,0.7,0
David Alaba,D. Alaba,D,Austria,5.5,3,3,3.8,0
Rodri,Rodri,M,Spain,7.5,8,8,2.5,0
Jérémy Doku,J. Doku,M,Belgium,8.5,2,2,6.5,0
Giorgian de Arrascaeta,G. de Arrascaeta,M,Uruguay,6.5,0,0,0.1,0
Nico Williams,N. Williams,M,Spain,8,1,1,1.9,0
Martin Ødegaard,M. Ødegaard,M,Norway,8,7,7,2,0
Moisés Caicedo,M. Caicedo,M,Ecuador,7,4,4,3.4,0
Matheus Cunha,M. Cunha,F,Brazil,7.5,2,2,3.3,0
Rafael Leão,R. Leão,M,Portugal,6.5,0,0,3.5,0
Memphis Depay,M. Depay,F,Netherlands,7.5,0,0,2.1,0
Riyad Mahrez,R. Mahrez,M,Algeria,8,1,1,0.4,0
Alexis Mac Allister,A. Mac Allister,M,Argentina,7.5,3,3,1.7,0
Vitinha,Vitinha,M,Portugal,8.5,0,0,15.3,0
Kai Havertz,K. Havertz,F,Germany,7,13,13,9.7,0
Bernardo Silva,B. Silva,M,Portugal,6.5,0,0,4.2,0
Declan Rice,D. Rice,M,England,8,0,0,4.5,0
Lucas Paquetá,L. Paquetá,M,Brazil,6.5,4,4,2.1,0
Gabriel Martinelli,G. Martinelli,F,Brazil,7.5,0,0,0.8,0
Alisson,Alisson,G,Brazil,6,3,3,12.9,0
Darwin Núñez,D. Núñez,F,Uruguay,6,0,0,3.2,0
James Rodríguez,J. Rodríguez,M,Colombia,6,0,0,5.5,0
Yoane Wissa,Y. Wissa,F,DR Congo,5.5,0,0,1.3,0
Eric García,E. García,D,Spain,5.5,0,0,4.2,0
Simon Adingra,S. Adingra,M,Côte d'Ivoire,5.5,0,0,0.8,0
Bono,Bono,G,Morocco,5.5,6,6,11.5,0
Emiliano Martínez,E. Martínez,G,Argentina,5.5,6,6,20.9,0
Eberechi Eze,E. Eze,M,England,6,0,0,5,0
Noussair Mazraoui,N. Mazraoui,D,Morocco,6,6,6,6.5,0
Gabriel Magalhães,G. Magalhães,D,Brazil,7,7,7,12.2,0
Anthony Gordon,A. Gordon,M,England,7,0,0,2.1,0
Iliman Ndiaye,I. Ndiaye,M,Senegal,6.5,4,4,0.8,0
Cédric Bakambu,C. Bakambu,F,DR Congo,4.5,0,0,0.7,0
Kobbie Mainoo,K. Mainoo,M,England,5.5,0,0,3.5,0
Romelu Lukaku,R. Lukaku,F,Belgium,6,0,0,5.2,0
Lisandro Martínez,L. Martínez,D,Argentina,5.5,8,8,4.9,0
Manuel Neuer,M. Neuer,G,Germany,5.5,4,4,12.3,0
Rodrigo De Paul,R. De Paul,M,Argentina,6,8,8,4.3,0
Nick Woltemade,N. Woltemade,F,Germany,6,0,0,3.8,0
Joško Gvardiol,J. Gvardiol,D,Croatia,7,0,0,5.5,0
Reece James,R. James,D,England,5.5,0,0,6,0
Cody Gakpo,C. Gakpo,M,Netherlands,7.5,4,4,1.8,0
Zizo,Zizo,M,Egypt,5.5,0,0,0.5,0
Rayan Aït-Nouri,R. Aït-Nouri,D,Algeria,5.5,0,0,3,0
Igor Thiago,I. Thiago,F,Brazil,6,1,1,4.7,0
Franck Kessié,F. Kessié,M,Côte d'Ivoire,6.5,5,5,0.5,0
João Neves,J. Neves,M,Portugal,8,0,0,4.9,0
Ederson,Ederson,G,Brazil,5,0,0,1.9,0
Rayan,Rayan,F,Brazil,5.5,0,0,2.4,0
Joshua Kimmich,J. Kimmich,D,Germany,7.5,14,14,9,0
Marc Cucurella,M. Cucurella,D,Spain,6.5,9,9,11.2,0
William Saliba,W. Saliba,D,France,7,3,3,9.9,0
N'Golo Kanté,N. Kanté,M,France,5,0,0,6.2,0
Nuno Mendes,N. Mendes,D,Portugal,7.5,0,0,24.4,0
Chancel Mbemba,C. Mbemba,D,DR Congo,4.5,0,0,0.8,0
Hamza Abdelkarim,H. Abdelkarim,F,Egypt,4,1,1,2.5,0
Bradley Barcola,B. Barcola,M,France,7,7,7,1.5,0
Pedro Neto,P. Neto,M,Portugal,7,0,0,0.8,0
Leroy Sané,L. Sané,M,Germany,7,2,2,1.3,0
Rúben Dias,R. Dias,D,Portugal,6.5,0,0,6,0
